name,precision,recall
Amandinea_punctata,0.689655172413793,0.805369127516779
Arthonia_radiata,0.5,0.871194379391101
Caloplaca_cerina,0.724137931034483,0.954545454545455
Candelariella_reflexa,0.833333333333333,0.916271721958926
Candelariella_xanthostigma,0.958333333333333,0.793103448275862
Chrysothrix_candelaris,0.875,0.75609756097561
Diploicia_canescens,0.862068965517241,0.724577190844283
Flavoparmelia_caperata,0.791666666666667,0.904761904761905
Gyalolechia_flavorubescens,0.736842105263158,0.830791064562442
Hyperphyscia_adglutinata,0.916666666666667,0.853566958698373
Lecanora_argentata,0.875,0.889763408426808
Lecanora_carpinea,0.516129032258065,0.87843137254902
Lecanora_chlarotera,1,0.705107741420591
Lecidella_elaeochroma,0.947368421052632,0.836953101765849
Melanelixia_glabratula,0.833333333333333,0.909090909090909
Parmotrema_chinense,0.714285714285714,0.681818181818182
Pertusaria_amara,0.947368421052632,0.825537282662926
Pertusaria_pertusa,0.928571428571429,0.743416102332581
Phaeophyscia_orbicularis,0.708333333333333,0.812684365781711
Physcia_biziana,0.875,0.962085308056872
Physconia_grisea,0.75,0.888311688311688
Punctelia_subrudecta,0.931034482758621,0.79955421111288
Ramalina_farinacea,0.625,0.891393442622951
Ramalina_fastigiata,0.791666666666667,0.877388535031847
Xanthomendoza_fallax,0.916666666666667,0.793814432989691
Xanthomendoza_fulva,0.75,0.857142857142857
flavoparmenia_soredians,0.791666666666667,0.779664443096826
rinodina_sophonens,0.857142857142857,0.539083052266858
